iter	Passed	Remaining
0	153	153723
1	154	77114
2	155	51552
3	155	38770
4	156	31091
5	156	25977
6	157	22316
7	157	19572
8	158	17437
9	158	15726
10	159	14328
11	159	13164
12	160	12181
13	160	11338
14	161	10609
15	162	9970
16	162	9406
17	163	8902
18	163	8453
19	164	8049
20	164	7688
21	165	7357
22	166	7056
23	166	6780
24	167	6529
25	168	6307
26	168	6089
27	169	5886
28	170	5695
29	170	5522
30	171	5359
31	172	5205
32	172	5064
33	173	4928
34	174	4799
35	174	4676
36	175	4559
37	175	4450
38	176	4346
39	176	4245
40	177	4154
41	178	4067
42	178	3981
43	179	3898
44	179	3819
45	180	3743
46	181	3671
47	181	3601
48	182	3535
49	182	3472
50	183	3411
51	183	3353
52	184	3296
53	185	3241
54	185	3188
55	186	3137
56	186	3088
57	187	3040
58	187	2994
59	188	2951
60	188	2908
61	189	2866
62	189	2825
63	190	2786
64	191	2748
65	191	2716
66	192	2681
67	192	2644
68	193	2612
69	194	2584
70	195	2554
71	195	2524
72	196	2495
73	197	2466
74	197	2437
75	198	2410
76	198	2383
77	199	2358
78	200	2333
79	200	2309
80	201	2286
81	202	2262
82	202	2240
83	203	2218
84	203	2194
85	204	2173
86	205	2152
87	206	2138
88	207	2121
89	207	2102
90	208	2084
91	209	2065
92	209	2047
93	210	2030
94	211	2012
95	211	1994
96	212	1977
97	213	1960
98	213	1944
99	214	1927
100	214	1911
101	215	1894
102	215	1879
103	216	1864
104	217	1850
105	217	1836
106	218	1822
107	219	1809
108	219	1796
109	220	1782
110	221	1770
111	221	1757
112	222	1744
113	222	1732
114	223	1719
115	224	1707
116	224	1694
117	225	1682
118	225	1670
119	226	1659
120	226	1648
121	227	1637
122	227	1624
123	228	1614
124	229	1603
125	229	1593
126	230	1582
127	230	1571
128	231	1561
129	231	1552
130	232	1543
131	233	1534
132	233	1525
133	234	1515
134	235	1506
135	235	1498
136	236	1489
137	237	1480
138	237	1472
139	238	1464
140	239	1456
141	239	1447
142	240	1439
143	240	1432
144	241	1424
145	242	1416
146	242	1409
147	243	1402
148	244	1395
149	244	1388
150	245	1381
151	246	1373
152	246	1366
153	247	1358
154	248	1352
155	248	1345
156	249	1339
157	250	1332
158	250	1326
159	251	1319
160	252	1313
161	252	1307
162	253	1301
163	254	1294
164	254	1288
165	255	1282
166	255	1276
167	256	1270
168	257	1264
169	257	1258
170	258	1253
171	259	1248
172	259	1242
173	260	1237
174	261	1231
175	261	1225
176	262	1219
177	262	1214
178	263	1208
179	264	1203
180	264	1197
181	265	1192
182	265	1187
183	266	1181
184	267	1176
185	267	1171
186	268	1166
187	268	1161
188	269	1155
189	269	1151
190	270	1146
191	271	1142
192	272	1137
193	272	1132
194	273	1128
195	273	1123
196	274	1118
197	274	1113
198	275	1108
199	276	1104
200	276	1100
201	277	1095
202	278	1091
203	278	1087
204	279	1083
205	279	1078
206	280	1074
207	281	1070
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	284	1046
214	285	1041
215	285	1037
216	286	1033
217	287	1029
218	287	1025
219	288	1022
220	288	1018
221	289	1014
222	290	1010
223	290	1006
224	291	1002
225	291	999
226	292	996
227	293	992
228	293	989
229	294	985
230	295	982
231	295	978
232	296	974
233	296	971
234	297	967
235	297	964
236	298	960
237	299	957
238	299	954
239	300	950
240	300	947
241	301	943
242	301	940
243	302	937
244	303	934
245	303	931
246	304	928
247	304	924
248	305	921
249	306	918
250	306	915
251	307	912
252	307	909
253	308	905
254	309	903
255	309	900
256	310	897
257	310	894
258	311	891
259	312	888
260	312	885
261	313	882
262	313	879
263	314	876
264	315	874
265	315	871
266	316	869
267	317	866
268	317	863
269	318	860
270	318	857
271	319	855
272	320	852
273	320	850
274	321	847
275	322	844
276	322	842
277	323	839
278	323	836
279	324	834
280	325	831
281	325	829
282	326	827
283	327	824
284	327	822
285	328	820
286	329	817
287	329	815
288	330	812
289	330	810
290	331	808
291	332	805
292	332	803
293	333	800
294	334	798
295	334	795
296	335	793
297	335	790
298	336	788
299	336	786
300	337	784
301	338	781
302	339	779
303	339	777
304	340	775
305	340	773
306	341	770
307	342	768
308	342	766
309	343	764
310	344	762
311	344	760
312	345	758
313	346	756
314	346	753
315	347	751
316	347	749
317	348	747
318	349	745
319	349	743
320	350	740
321	350	738
322	351	736
323	352	734
324	352	732
325	353	731
326	354	729
327	354	727
328	355	725
329	356	723
330	356	721
331	357	719
332	358	717
333	358	714
334	359	712
335	359	711
336	360	709
337	361	707
338	361	705
339	362	703
340	362	701
341	363	699
342	364	697
343	364	695
344	365	694
345	366	692
346	366	690
347	367	688
348	368	686
349	368	684
350	369	682
351	369	680
352	370	679
353	371	677
354	371	675
355	372	673
356	373	672
357	373	670
358	374	668
359	374	666
360	375	664
361	376	662
362	376	661
363	377	659
364	378	657
365	378	655
366	379	654
367	379	652
368	380	650
369	381	649
370	381	647
371	382	645
372	383	644
373	383	642
374	384	640
375	384	638
376	385	637
377	386	635
378	386	633
379	387	632
380	388	630
381	389	629
382	389	627
383	390	626
384	390	624
385	391	622
386	392	621
387	392	619
388	393	618
389	394	616
390	395	615
391	395	613
392	396	612
393	396	610
394	397	608
395	398	607
396	398	605
397	399	604
